"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: logPermutations","Param: seed","Param: size"
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan","thrpt",1,5,70.991042,6.575874,"ops/us",7,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:CPI","thrpt",1,1,0.293282,NaN,"#/op",7,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-dcache-load-misses","thrpt",1,1,0.001663,NaN,"#/op",7,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-dcache-loads","thrpt",1,1,46.908226,NaN,"#/op",7,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-dcache-stores","thrpt",1,1,4.959389,NaN,"#/op",7,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-icache-load-misses","thrpt",1,1,0.008383,NaN,"#/op",7,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-load-misses","thrpt",1,1,0.000860,NaN,"#/op",7,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-loads","thrpt",1,1,0.002332,NaN,"#/op",7,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-store-misses","thrpt",1,1,0.000264,NaN,"#/op",7,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-stores","thrpt",1,1,0.001089,NaN,"#/op",7,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:branch-misses","thrpt",1,1,0.005082,NaN,"#/op",7,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:branches","thrpt",1,1,43.053090,NaN,"#/op",7,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:cycles","thrpt",1,1,46.907947,NaN,"#/op",7,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-load-misses","thrpt",1,1,0.000268,NaN,"#/op",7,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-loads","thrpt",1,1,46.593372,NaN,"#/op",7,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-store-misses","thrpt",1,1,0.000068,NaN,"#/op",7,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-stores","thrpt",1,1,4.943154,NaN,"#/op",7,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:iTLB-load-misses","thrpt",1,1,0.000028,NaN,"#/op",7,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:iTLB-loads","thrpt",1,1,0.000078,NaN,"#/op",7,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:instructions","thrpt",1,1,159.941549,NaN,"#/op",7,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan","thrpt",1,5,11.629591,0.089515,"ops/us",7,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:CPI","thrpt",1,1,0.311575,NaN,"#/op",7,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-dcache-load-misses","thrpt",1,1,2.792985,NaN,"#/op",7,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-dcache-loads","thrpt",1,1,273.190071,NaN,"#/op",7,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-dcache-stores","thrpt",1,1,5.184260,NaN,"#/op",7,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-icache-load-misses","thrpt",1,1,0.047156,NaN,"#/op",7,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-load-misses","thrpt",1,1,0.001540,NaN,"#/op",7,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-loads","thrpt",1,1,0.006565,NaN,"#/op",7,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-store-misses","thrpt",1,1,0.001126,NaN,"#/op",7,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-stores","thrpt",1,1,0.003512,NaN,"#/op",7,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:branch-misses","thrpt",1,1,0.862337,NaN,"#/op",7,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:branches","thrpt",1,1,294.844783,NaN,"#/op",7,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:cycles","thrpt",1,1,296.649487,NaN,"#/op",7,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-load-misses","thrpt",1,1,0.000738,NaN,"#/op",7,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-loads","thrpt",1,1,274.544064,NaN,"#/op",7,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-store-misses","thrpt",1,1,0.000125,NaN,"#/op",7,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-stores","thrpt",1,1,5.267967,NaN,"#/op",7,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:iTLB-load-misses","thrpt",1,1,0.000512,NaN,"#/op",7,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:iTLB-loads","thrpt",1,1,0.001273,NaN,"#/op",7,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:instructions","thrpt",1,1,952.095158,NaN,"#/op",7,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan","thrpt",1,5,3.119181,0.063071,"ops/us",7,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:CPI","thrpt",1,1,0.301833,NaN,"#/op",7,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-dcache-load-misses","thrpt",1,1,16.374709,NaN,"#/op",7,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-dcache-loads","thrpt",1,1,1033.534682,NaN,"#/op",7,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-dcache-stores","thrpt",1,1,5.709809,NaN,"#/op",7,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-icache-load-misses","thrpt",1,1,0.146880,NaN,"#/op",7,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-load-misses","thrpt",1,1,0.004427,NaN,"#/op",7,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-loads","thrpt",1,1,0.029262,NaN,"#/op",7,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-store-misses","thrpt",1,1,0.000942,NaN,"#/op",7,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-stores","thrpt",1,1,0.001635,NaN,"#/op",7,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:branch-misses","thrpt",1,1,1.898597,NaN,"#/op",7,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:branches","thrpt",1,1,1150.622195,NaN,"#/op",7,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:cycles","thrpt",1,1,1087.241013,NaN,"#/op",7,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-load-misses","thrpt",1,1,0.002116,NaN,"#/op",7,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-loads","thrpt",1,1,1035.631601,NaN,"#/op",7,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-store-misses","thrpt",1,1,0.000687,NaN,"#/op",7,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-stores","thrpt",1,1,5.976110,NaN,"#/op",7,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:iTLB-load-misses","thrpt",1,1,0.001239,NaN,"#/op",7,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:iTLB-loads","thrpt",1,1,0.005175,NaN,"#/op",7,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:instructions","thrpt",1,1,3602.133079,NaN,"#/op",7,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan","thrpt",1,5,73.729037,1.007170,"ops/us",8,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:CPI","thrpt",1,1,0.281852,NaN,"#/op",8,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-dcache-load-misses","thrpt",1,1,0.017350,NaN,"#/op",8,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-dcache-loads","thrpt",1,1,48.477671,NaN,"#/op",8,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-dcache-stores","thrpt",1,1,4.957198,NaN,"#/op",8,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-icache-load-misses","thrpt",1,1,0.001863,NaN,"#/op",8,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-load-misses","thrpt",1,1,0.000090,NaN,"#/op",8,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-loads","thrpt",1,1,0.000255,NaN,"#/op",8,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-store-misses","thrpt",1,1,0.000006,NaN,"#/op",8,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-stores","thrpt",1,1,0.000057,NaN,"#/op",8,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:branch-misses","thrpt",1,1,0.007098,NaN,"#/op",8,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:branches","thrpt",1,1,43.063813,NaN,"#/op",8,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:cycles","thrpt",1,1,45.716442,NaN,"#/op",8,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-load-misses","thrpt",1,1,0.000074,NaN,"#/op",8,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-loads","thrpt",1,1,49.238342,NaN,"#/op",8,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-store-misses","thrpt",1,1,0.000031,NaN,"#/op",8,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-stores","thrpt",1,1,4.987555,NaN,"#/op",8,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:iTLB-load-misses","thrpt",1,1,0.000079,NaN,"#/op",8,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:iTLB-loads","thrpt",1,1,0.000424,NaN,"#/op",8,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:instructions","thrpt",1,1,162.200417,NaN,"#/op",8,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan","thrpt",1,5,11.506062,0.123682,"ops/us",8,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:CPI","thrpt",1,1,0.313647,NaN,"#/op",8,1,256
