"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: probabilityOfNaN","Param: size"
"com.openkappa.panama.vectorbenchmarks.VerticalSum.verticalSum","thrpt",1,15,4864.795658,126.209004,"ops/ms",0,1024
"com.openkappa.panama.vectorbenchmarks.VerticalSum.verticalSum","thrpt",1,15,4649.259565,294.853521,"ops/ms",0.001,1024
"com.openkappa.panama.vectorbenchmarks.VerticalSum.verticalSum","thrpt",1,15,4777.532387,98.230932,"ops/ms",0.01,1024
"com.openkappa.panama.vectorbenchmarks.VerticalSum.verticalSumBuffer","thrpt",1,15,1333.515026,10.372000,"ops/ms",0,1024
"com.openkappa.panama.vectorbenchmarks.VerticalSum.verticalSumBuffer","thrpt",1,15,1330.907595,15.510004,"ops/ms",0.001,1024
"com.openkappa.panama.vectorbenchmarks.VerticalSum.verticalSumBuffer","thrpt",1,15,1333.679136,21.702501,"ops/ms",0.01,1024
"com.openkappa.panama.vectorbenchmarks.VerticalSum.verticalSumBufferNaNCheckOptimistic","thrpt",1,15,357.873005,2.956848,"ops/ms",0,1024
"com.openkappa.panama.vectorbenchmarks.VerticalSum.verticalSumBufferNaNCheckOptimistic","thrpt",1,15,352.742378,6.545533,"ops/ms",0.001,1024
"com.openkappa.panama.vectorbenchmarks.VerticalSum.verticalSumBufferNaNCheckOptimistic","thrpt",1,15,340.218456,25.928639,"ops/ms",0.01,1024
"com.openkappa.panama.vectorbenchmarks.VerticalSum.verticalSumBufferNaNCheckPessimistic","thrpt",1,15,648.070927,55.080175,"ops/ms",0,1024
"com.openkappa.panama.vectorbenchmarks.VerticalSum.verticalSumBufferNaNCheckPessimistic","thrpt",1,15,672.801163,41.058340,"ops/ms",0.001,1024
"com.openkappa.panama.vectorbenchmarks.VerticalSum.verticalSumBufferNaNCheckPessimistic","thrpt",1,15,743.493598,12.727167,"ops/ms",0.01,1024
"com.openkappa.panama.vectorbenchmarks.VerticalSum.verticalSumNaNCheckOptimistic","thrpt",1,15,1371.268952,78.837892,"ops/ms",0,1024
"com.openkappa.panama.vectorbenchmarks.VerticalSum.verticalSumNaNCheckOptimistic","thrpt",1,15,1224.422315,73.939077,"ops/ms",0.001,1024
"com.openkappa.panama.vectorbenchmarks.VerticalSum.verticalSumNaNCheckOptimistic","thrpt",1,15,1200.809130,54.526345,"ops/ms",0.01,1024
"com.openkappa.panama.vectorbenchmarks.VerticalSum.verticalSumNaNCheckPessimistic","thrpt",1,15,793.667657,28.861901,"ops/ms",0,1024
"com.openkappa.panama.vectorbenchmarks.VerticalSum.verticalSumNaNCheckPessimistic","thrpt",1,15,769.800015,23.910384,"ops/ms",0.001,1024
"com.openkappa.panama.vectorbenchmarks.VerticalSum.verticalSumNaNCheckPessimistic","thrpt",1,15,783.596695,7.224779,"ops/ms",0.01,1024
"com.openkappa.panama.vectorbenchmarks.VerticalSum.verticalSumPanamaArray","thrpt",1,15,7069.169553,63.725900,"ops/ms",0,1024
"com.openkappa.panama.vectorbenchmarks.VerticalSum.verticalSumPanamaArray","thrpt",1,15,4806.197891,111.204266,"ops/ms",0.001,1024
"com.openkappa.panama.vectorbenchmarks.VerticalSum.verticalSumPanamaArray","thrpt",1,15,6925.355695,55.251901,"ops/ms",0.01,1024
"com.openkappa.panama.vectorbenchmarks.VerticalSum.verticalSumPanamaArrayNaNCheckOptimistic","thrpt",1,15,4874.191970,44.134460,"ops/ms",0,1024
"com.openkappa.panama.vectorbenchmarks.VerticalSum.verticalSumPanamaArrayNaNCheckOptimistic","thrpt",1,15,4438.941670,279.860790,"ops/ms",0.001,1024
"com.openkappa.panama.vectorbenchmarks.VerticalSum.verticalSumPanamaArrayNaNCheckOptimistic","thrpt",1,15,3557.063722,2103.785889,"ops/ms",0.01,1024
"com.openkappa.panama.vectorbenchmarks.VerticalSum.verticalSumPanamaArrayNaNCheckPessimistic","thrpt",1,15,4243.353908,22.900136,"ops/ms",0,1024
"com.openkappa.panama.vectorbenchmarks.VerticalSum.verticalSumPanamaArrayNaNCheckPessimistic","thrpt",1,15,3707.891469,32.665194,"ops/ms",0.001,1024
"com.openkappa.panama.vectorbenchmarks.VerticalSum.verticalSumPanamaArrayNaNCheckPessimistic","thrpt",1,15,4345.508693,179.632446,"ops/ms",0.01,1024
